Slice,Count,Total Area,Average Size,%Area,Mean
s1_AC1.tif,68,434,6.382,0.050,255
s1_BC1.tif,113,680,6.018,0.079,255
s1_CC1.tif,65,364,5.600,0.042,255
s2_AC1.tif,26,144,5.538,0.017,255
s2_BC1.tif,47,323,6.872,0.038,255
s2_CC1.tif,39,318,8.154,0.037,255
s3_AC1.tif,94,828,8.809,0.096,255
s3_BC1.tif,151,1256,8.318,0.146,255
s3_CC1.tif,123,839,6.821,0.097,255
s4_AC1.tif,150,1476,9.840,0.171,255
s4_BC1.tif,167,1734,10.383,0.201,255
s4_CC1.tif,176,1533,8.710,0.178,255
