gene
osp
CG10035
CG13427
CG42613
Idgf6
lmd
phu
CG9628
Obp56a
tsr
rdo
rad
CG2493
CG14111
CG7296
veil
CG8563
nrm
CG31221
CG5888
Gas8
Parp
Nplp2
FASN3
CG8654
cathD
Idgf2
Obp99a
CG34355
mt:ND2
phm
Cyp4e2
Pka-C3
CG1307
LpR2
Cirl
pdm2
cato
CG5532
Catsup
RpS5b
Gs2
sm
Nepl3
Scgdelta
Hr4
Aps
CG10470
CG13033
CG4408
CG43736
Reph
CG13377
CG13784
CG13003
bnb
tey
sesB
KCNQ
CG31937
Hsp27
CG9953
na
nub
ImpE2
RYa-R
pre-lola-G
Lip4
GILT2
EMC4
Brd
Ilp4
moon
CREG
awd
CG4572
Rtnl1
dpr3
CG15083
CG7294
alpha4GT2
CG6845
Mal-A5
Alk
RpL19
spri
PIG-T
Wnt6
CG6398
Myo81F
RpL36A
CG17752
CG32850
RpLP1
Shrm
glob1
CG42673
CG11905
CG44325
RpL9
Spn
Scp2
RpLP2
vir-1
RpL10
